question,answer,explanation,a,b,c,d,e,f,source
"Consider the following statements : 
1. Article 1 describes India as a federation 
of states. 
2. Currently, India has 28 states and 8 
union territories. 
3. The names of states and union territories 
and their territorial extent are mentioned 
in the third schedule of the Constitution. 
Which of the statements given above is/are 
correct? 
(a) 2 only 
(b) 1 and 2 only 
(c) 1 and 3 only 
(d) 1, 2 and 3 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
17                                                             www.visionias.in                                                                                      ©Vision IAS",a,"• 
Article 1 describes India, that is, Bharat as a ‘Union of States’ rather than a ‘Federation of States’. 
This provision deals with two things: one, name of the country; and two, type of polity. Hence statement 
1 is not correct. 
• 
Secondly, the country is described as ‘Union’ although its Constitution is federal in structure. According 
to Dr. B.R. Ambedkar, the phrase ‘Union of States’ has been preferred to ‘Federation of States’ for two 
reasons: one, the Indian Federation is not the result of an agreement among the states like the American 
Federation; and two, the states have no right to secede from the federation. 
• 
According to Article 1, the territory of India can be classified into three categories: 
1. Territories of the states 
2. Union territories 
3. Territories that may be acquired by the Government of India at any time. 
• 
The names of states and union territories and their territorial extent are mentioned in the first schedule 
of the Constitution. At present, there are 28 states and 8 union territories. Hence statement 2 is 
correct and statement 3 is not correct.",2 only ,1 and 2 only ,1 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to 'grey hydrogen', consider 
the following statements: 
1. It is generated from natural gas or 
methane, through a process called 
“steam reforming”. 
2. It is called 'grey hydrogen due to the 
distinct grey smoke produced when 
burnt in presence of oxygen. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",a,"• 
Recently, Union Cabinet approved a 20,000 crore budget for National Green Hydrogen Mission. 
• 
Grey hydrogen is the most common form of hydrogen and is generated from natural gas, or methane, 
through a process called “steam reforming”. In this process, natural gas containing methane (CH4) can 
be used to produce hydrogen with thermal processes, such as steam-methane reformation and partial 
oxidation. Hence, statement 1 is correct. 
• 
Hydrogen can be produced from a range of resources including fossil fuels, nuclear energy, biomass, and 
renewable energy sources. Depending on production methods, hydrogen can be grey, blue, or green and 
sometimes even pink, yellow or turquoise. They’re essentially color codes, used within the energy 
industry to differentiate between the types of hydrogen. Depending on the type of production used, 
different colors are assigned to the hydrogen. 
• 
Hydrogen emits only water when burnt. It derives the grey hydrogen name because of the process of 
production and not on basis of the by products after burning. Hence, statement 2 is not correct. 
• 
Green hydrogen is the only type produced in a climate-neutral manner, meaning it could play a vital 
role in global efforts to reduce emissions to net zero by 2050.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In the context of evolution of Indian 
constitution, which of the following Acts, for 
the first time, separated provincial budgets 
from the Central budget and authorized the 
provincial 
legislatures 
to 
enact 
their 
budgets? 
(a) Indian Councils Act of 1909 
(b) Government of India Act of 1919 
(c) Indian Councils Act of 1861 
(d) Government of India Act of 1935",b,"• 
The Government of India Act of 1919 was enacted and came into force in 1921. This Act is also known as 
Montagu- Chelmsford Reforms (Montagu was the Secretary of State for India and Lord Chelmsford was 
the Viceroy of India). 
• 
The features of this Act were as follows: 
o 
It relaxed central control over the provinces by demarcating and separating the central and 
provincial subjects. The central and provincial legislatures were authorized to make laws on their 
respective list of subjects. However, the structure of government continued to be centralized and 
unitary. 
o 
It further divided the provincial subjects into two parts– transferred and reserved. The 
transferred subjects were to be administered by the Governor with the aid of Ministers responsible to 
the legislative council. 
▪ 
The reserved subjects, on the other hand, were to be administered by the Governor and his 
executive council without being responsible to the legislative council. This dual scheme of 
governance was known as ‘dyarchy’. 
o 
It required that the three of the six members of the Viceroy’s executive Council (other than the 
Commander-in-Chief) were to be Indian. 
o 
It extended the principle of communal representation by providing separate electorates for Sikhs, 
Indian Christians, Anglo-Indians and Europeans. 
o 
It granted franchise to a limited number of people on the basis of property, tax or education. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
32                                                                              www.visionias.in                                                   ©Vision IAS  
o 
It created a new office of the High Commissioner for India in London and transferred to him some of 
the functions hitherto performed by the Secretary of State for India. 
o 
It provided for the establishment of a public service commission. Hence, a Central Public Service 
Commission was set up in 1926 for recruiting civil servants. 
o 
It separated, for the first time, provincial budgets from the Central budget and authorized the 
provincial legislatures to enact their budgets. 
• 
Hence option (b) is the correct answer.",Indian Councils Act of 1909 ,Government of India Act of 1919 ,Indian Councils Act of 1861 ,Government of India Act of 1935 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding 
the Pradhan Mantri Garib Kalyan Anna 
Yojana (PMGKAY): 
1. It is an integrated food security scheme 
for 
providing 
free 
foodgrains 
to 
Antodaya Ann Yojna (AAY) and 
Primary Household (PHH) beneficiaries 
under National Food Security Act 
(NFSA), 2013 
2. The beneficiaries will also be getting 
food grains at subsidized prices. 
Which of the statements given above is/are 
correct?  
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",a,"• 
Centre has named its new integrated food security scheme for providing free foodgrains to 
Antodaya Ann Yojna (AAY) and Primary Household (PHH) beneficiaries under National Food 
Security Act (NFSA), 2013 as Pradhan Mantri Garib Kalyan Anna Yojana (PMGKAY). Hence 
statement 1 is correct. 
• 
It’ll strengthen provisions of NFSA, 2013 in terms of accessibility, affordability, and availability of food 
grains for the poor. It will subsume two subsidy schemes of the Department of Food & Public Distribution 
• 
Food Subsidy to FCI: It is in form of a consumer subsidy (Difference between Economic cost incurred 
by FCI and realized Central Issue Price) and a buffer subsidy (Cost of holding and maintaining buffer 
stock). 
• 
Food Subsidy for decentralized procurement states dealing with procurement, allocation, and delivery 
of free foodgrains to states under NFSA. 
• 
Earlier, a scheme with a similar name (PMGKAY) was implemented during the Covid-19 pandemic. 
• 
Difference between the two schemes 
o 
Earlier, NFSA beneficiaries were getting foodgrains entitlement (35 kg per AAY Household and 5 kg 
per person to PHH) at a subsidized rates (Rs 3/kg rice, Rs 2/kg wheat, and Rs 1/kg coarse grains). 
o 
Now, the government has done away with subsided prices and providing food grains free of cost 
for a year. However, an additional quantity of 5 kg of food grains will not be provided.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to Advocate General for the 
states, consider the following statements: 
1. The term of office of the advocate 
general is fixed by the Constitution. 
2. He holds office at the pleasure of the 
governor of a state. 
3. He enjoys all the privileges and 
immunities that are available to a 
member of the state legislature. 
Which of the statements given above are 
correct? 
(a) 1 and 2 only 
(b) 2 and 3 only 
(c) 1 and 3 only 
(d) 1, 2 and 3",b,"• 
The Constitution (Article 165) has provided for the office of the advocate general for the states. He is 
the highest law officer in the state. 
• 
The term of office of the advocate general is not fixed by the Constitution. Further, the Constitution 
does not contain the procedure and grounds for his removal. Hence, statement 1 is not correct. 
• 
He holds office at the pleasure of the governor. This means that he may be removed by the governor at 
any time. Hence, statement 2 is correct. 
• 
In the performance of his official duties, the advocate general is entitled to appear before any court of law 
within the state. Further, he has the right to speak and to take part in the proceedings of both the Houses of 
the state legislature or any committee of the state legislature of which he may be named a member, but 
without a right to vote. He enjoys all the privileges and immunities that are available to a member of 
the state legislature. Hence, statement 3 is correct.",1 and 2 only ,2 and 3 only ,1 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Recently the Food Safety and Standards 
Authority of India (FSSAI) was in the news. 
FSSAI falls under which of the following 
ministries? 
(a) Ministry of Health & Family Welfare 
(b) Ministry of Food Processing Industries 
(c) Ministry of Commerce and Industry 
(d) It is an independent body and not part of 
any ministry",a,"• 
Recent Context:  FSSAI Survey stated that 15% of dietary supplements were found to be unsafe for 
consumption. 
o 
unsupervised consumption of dietary supplements, warning poor-quality products can affect 
cardiovascular health and kidneys. 
• 
FSSAI is under Ministry of Health & Family Welfare. Hence option (a) is the correct answer. 
• 
It is an autonomous statutory body established under Food Safety and Standards Act (FSSA), 2006. 
• 
FSSA 2006 consolidates various acts & orders that had earlier handled food related issues in various 
Ministries. 
• 
It regulates and monitor, manufacture, processing, distribution of food while ensuring safe and wholesome 
food to consumers. 
• 
Headquarters - Delhi",Ministry of Health & Family Welfare ,Ministry of Food Processing Industries ,Ministry of Commerce and Industry ,It is an independent body and not part of ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In which of the following cases, the Supreme 
Court held that the doctrine of basic 
structure would apply to constitutional 
amendments after April 24, 1973? 
(a) S.R. Bommai Case (1994) 
(b) Waman Rao Case (1981) 
(c) Kuldip Nayar Case (2006) 
(d) Indira Gandhi Nehru Case (1975) 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
18                                                             www.visionias.in                                                                                      ©Vision IAS",b,"• 
In the Waman Rao case (1981), the Supreme Court adhered to the doctrine of the ‘basic structure’ 
and further clarified that it would apply to constitutional amendments enacted after April 24, 1973. 
Hence option (b) is the correct answer. 
• 
The court in Waman Rao vs Union of India ultimately ruled that the First Constitutional Amendment Act 
of 1951, that introduced Articles 31A, 31B, as well as the Twenty-Fifth Amendment Act that introduced 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
33                                                                              www.visionias.in                                                   ©Vision IAS  
Article 31C were constitutional, and did not damage any basic or essential features or the basic structure 
of the Constitution. 
• 
S.R. Bommai Case (1994): 
o 
The verdict concluded that the power of the President to dismiss a State government is not absolute. 
The verdict said the President should exercise the power only after his proclamation (imposing his/her 
rule) is approved by both Houses of Parliament. Till then, the Court said, the President can only 
suspend the Legislative Assembly by suspending the provisions of Constitution relating to the 
Legislative Assembly. 
• 
Kuldip Nayar Case (2006): 
o 
The case of Kuldip Nayar v. Union of India (2006) deals with the amendments to the Representation 
of People's Act, 1951 where, initially it required for the electors to have a “domicile” in the State 
concerned for getting elected to the Council of States, which was subsequently deleted by the said 
amendment in 2003. 
• 
Indira Gandhi Nehru Case (1975): 
o 
The doctrine of basic structure of the constitution was reaffirmed and applied by the Supreme Court in 
the Indira Nehru Gandhi case (1975). In this case, the Supreme Court invalidated a provision of the 
39th Amendment Act (1975) which kept the election disputes involving the Prime Minister and the 
Speaker of Lok Sabha outside the jurisdiction of all courts.",S.R. Bommai Case (1994) ,Waman Rao Case (1981) ,Kuldip Nayar Case (2006) ,Indira Gandhi Nehru Case (1975) ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to the principle of 'collective 
responsibility' 
in 
India, 
consider 
the 
following statements: 
1. It is a judicial innovation and not 
mentioned 
explicitly 
under 
the 
constitutional provisions. 
2. It means that the Council of Ministers 
shall be collectively responsible to the 
Parliament. 
Which of the statements given above is/are 
correct ? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",d,"• 
Collective responsibility is the convention under which individual members of government are held 
accountable for the acts and decisions of the government as a whole. 
• 
Under the Constitution of India, Article 75(3) deals with Collective Responsibility at the Centre (The 
Council of Ministers shall be collectively responsible to the House of the People), while Article 
164(3) deals with state governments. Hence, statements 1 and 2 are not correct. 
• 
Recently, Supreme Court stated, “a statement made by a minister, even if traceable to any affairs of the 
state or for protecting the government, cannot be attributed vicariously to the government by invoking the 
principle of collective responsibility"". In other words, the flow of stream in collective responsibility is 
from the Council of Ministers to the individual Ministers and not vice versa.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following countries have a 
federal system of government? 
1. India 
2. United Kingdom 
3. Brazil 
4. Mexico 
Select the correct answer using the code 
given below. 
(a) 1, 2 and 3 only 
(b) 1, 3 and 4 only 
(c) 2 and 4 only 
(d) 1 and 3 only",b,"• 
Federalism is a system of government in which the power is divided between a central authority and 
various constituent units of the country. Usually, a federation has two levels of government. One is the 
government for the entire country that is usually responsible for a few subjects of common national 
interest. 
o 
The others are governments at the level of provinces or states that look after much of the day-to-day 
administering of their state. Both these levels of governments enjoy their power independent of the 
other. 
• 
Features of federalism 
o 
There are two or more levels (or tiers) of government. 
o 
Different tiers of government govern the same citizens, but each tier has its own jurisdiction in 
specific matters of legislation, taxation and administration. 
o 
The jurisdictions of the respective levels or tiers of government are specified in the constitution. So 
the existence and authority of each tier of government is constitutionally guaranteed. 
o 
The fundamental provisions of the constitution cannot be unilaterally changed by one level of 
government. Such changes require the consent of both levels of government. 
o 
Courts have the power to interpret the constitution and the powers of different levels of government. 
The highest court acts as an umpire if disputes arise between different levels of government in the 
exercise of their respective power. 
o 
Sources of revenue for each level of government are clearly specified to ensure its financial 
autonomy. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
34                                                                              www.visionias.in                                                   ©Vision IAS  
 
• 
Hence option (b) is the correct answer.","1, 2 and 3 only ","1, 3 and 4 only ",2 and 4 only ,1 and 3 only ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding 
the Drafting Committee of the Constitution : 
1. It was constituted after independence. 
2. N. Gopalaswamy Ayyangar was the 
chairman of this committee. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",a,"• 
Among all the committees of the Constituent Assembly, the most important committee was the 
Drafting Committee set up on August 29, 1947. It was this committee that was entrusted with the task 
of preparing a draft of the new Constitution. Hence statement 1 is correct. 
• 
It consisted of seven members. They were 
o 
Dr. B.R. Ambedkar (Chairman). Hence statement 2 is not correct.  
o 
N. Gopalaswamy Ayyangar 
o 
Alladi Krishnaswamy Ayyar 
o 
Dr. K.M. Munshi 
o 
Syed Mohammad Saadullah 
o 
N. Madhava Rau 
o 
T.T. Krishnamachari 
• 
The Drafting Committee, after taking into consideration the proposals of the various committees, prepared 
the first draft of the Constitution of India, which was published in February, 1948. The people of India 
were given eight months to discuss the draft and propose amendments.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the statements regarding the 
Digital India Land Records Modernisation 
Programme (DILRMP): 
1. It is a central sector scheme under the 
Ministry of Rural Development. 
2. It aims to achieve computerization of 
land records. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
Recent Context: The union government has informed that cadastral maps of 35% of over six lakh 
villages in the country have so far been geo-referenced under the Digital India Land Records 
Modernisation Programme  (DILRMP). 
o 
Cadastral Maps are a digital form of land records that show all boundaries of different parts of 
land pieces based on their length, area, and direction. 
• 
DILRMP is implemented by the Department of Land Resources under the Ministry of Rural 
Development. It is a Central Sector scheme that has been extended to 2023-24, to complete its original 
targets as well as expand its ambit with a slew of new schemes. Hence statement 1 is correct. 
o 
Its three major components: Computerization of land record, Survey/re-survey, Computerization of 
Registration. Hence statement 2 is correct.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding 
the Central Vigilance Commission (CVC): 
1. Its establishment was recommended by 
the Rajamannar commission for the 
prevention of corruption. 
2. Vigilance 
Commissioners 
are 
not 
eligible for further employment under 
the Central or state government. 
3. The salary, allowances, and other 
conditions of service of the Central 
Vigilance Commissioner are similar to 
those 
of 
the 
Chief 
Election 
Commissioner. 
Which of the statements given above 
is/are correct? 
(a) 1 and 3 only 
(b) 2 only 
(c) 2 and 3 only 
(d) 1 and 2 only",b,"• 
The Central Vigilance Commission (CVC) is the main agency for preventing corruption in the Central 
government. It was established in 1964 by an executive resolution of the Central government. Its 
establishment was recommended by the Santhanam Committee on Prevention of Corruption (1962–
64). Hence, statement 1 is not correct. 
• 
The CVC is a multi-member body consisting of a Central Vigilance Commissioner (chairperson) and 
not more than two vigilance commissioners. They are appointed by the president by warrant under his 
hand and seal on the recommendation of a three-member committee consisting of the prime minister as its 
head, the Union minister of home affairs, and the Leader of the Opposition in the Lok Sabha. They hold 
office for a term of four years or until they attain the age of sixty-five years, whichever is earlier. After 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
35                                                                              www.visionias.in                                                   ©Vision IAS  
their tenure, they are not eligible for further employment under the Central or state government. 
Hence, statement 2 is correct. 
• 
The salary, allowances, and other conditions of service of the Central Vigilance Commissioner are 
similar to those of the Chairman of UPSC and that of the vigilance commissioner are similar to those of 
a member of UPSC. But they cannot be varied to his disadvantage after his appointment. Hence, 
statement 3 is not correct.",1 and 3 only ,2 only ,2 and 3 only ,1 and 2 only ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to the Goods and Services 
Tax 
Council, 
consider 
the 
following 
statements: 
1. The Goods and Services Tax Council is 
a constitutional body. 
2. Union Revenue Secretary acts as the ex-
officio Secretary to the Council. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
19                                                             www.visionias.in                                                                                      ©Vision IAS",c,"• 
The Constitution (One Hundred And First Amendment) Act, 2016” passed on the 8th of September, 
2016. Since then the GST council and been notified bringing into existence the Constitutional body to 
decide issues relating to GST, inserted a new Article 279-A in the Constitution. This Article empowered 
the President to constitute a GST Council by order. Accordingly, the President issued the order in 2016 
and constituted the Council. Hence statement 1 is correct. 
• 
As per Article 279A of the amended Constitution, the GST Council which will be a joint forum of the 
Centre and the States shall consist of the following members: - 
o 
Union Finance Minister - Chairperson 
o 
The Union Minister of State, in charge of Revenue of finance - Member 
o 
The Minister In-charge of finance or taxation or any other Minister nominated by each State 
Government - Members 
• 
As per Article 279A (4), the Council will make recommendations to the Union and the States on 
important issues related to GST, like the goods and services that may be subjected or exempted from 
GST, model GST Laws, principles that govern Place of Supply, threshold limits, GST rates including the 
floor rates with bands, special rates for raising additional resources during natural calamities/disasters, 
special provisions for certain States, etc. 
• 
The Secretariat of the Council is located in New Delhi. The Union Revenue Secretary acts as the ex-
officio Secretary to the Council. Hence statement 2 is correct.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements with 
reference to the National Commission for 
Protection Of Child Rights (NCPCR): 
1. It is a statutory body under the 
administrative control of the Ministry of 
Women & Child Development. 
2. It inquires into violation of child rights 
and takes suo-motu notice of matters 
relating to deprivation and violation of 
child rights.  
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
The National Commission for Protection of Child Rights (NCPCR) has been constituted by the 
Government of India, under the Commission for Protection of Child Rights (CPCR) Act,2005 to 
exercise and performs the powers and functions assigned to it under CPCR Act,2005. The Commission 
works under the aegis of the Ministry of Women and Child Development. Hence statement 1 is 
correct. 
• 
The commission consists of the following members namely: A chairperson who, is a person of eminence 
and has done outstanding work for promoting the welfare of children; and Six members, out of which at 
least two are women are appointed by the Central Government. 
• 
The Functions of the National Commission for Protection of Child Rights as laid out in the Commissions 
for Protection of Child Rights (CPCR) Act,2005 are as follows: 
o 
Examine and review the safeguards provided by or under any law for the time being in force for the 
protection of child rights and recommend measures for their effective implementation; 
o 
Inquire into complaints and take suo-motu notice of matters relating to: 
▪ 
Deprivation and violation of child rights; Hence statement 2 is correct. 
▪ 
Non-implementation of laws providing for the protection and development of children; 
▪ 
Non-compliance of policy decisions, guidelines or instructions aimed at mitigating hardships to 
and ensuring the welfare of the children and provide relief to such children; 
o 
Inspect or cause to be inspected any juveniles custodial home, or any other place of residence or 
institution meant for children, under the control of the Central Government or any State Government 
or any other authority, including any institution run by a social organization. 
o 
Spread child rights literacy among various section of society and promote awareness of the safeguards 
available for protection of these rights through publications, the media, seminar and other available 
means; 
• 
Hence, both statements 1 and 2 are correct.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding 
the Central Information Commission: 
1. The Central Information Commission is 
a statutory body, set up under the Right 
to Information Act in 2005. 
2. The Commission consists of a Chief 
Information Commissioner and not more 
than ten Information Commissioners. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
The Central Information Commission is a statutory body, set up under the Right to Information Act in 
2005 under the Government of India to act upon complaints from those individuals who have not been 
able to submit information requests to a Central Public Information Officer or State Public Information 
Officer due to either the officer not have been appointed, or because the respective Central Assistant 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
36                                                                              www.visionias.in                                                   ©Vision IAS  
Public Information Officer or State Assistant Public Information Officer refused to receive the application 
for information under the Right to Information Act. Hence statement 1 is correct. 
• 
However, the newly amended act, Right to Information Act (Amendment), 2019 empowers the Central 
Government to prescribe the term of office for the commissioners as it may deem fit to the government. 
Before this amendment, their term was fixed for 5 years. 
• 
The 2019 Amendment Act also states that the salary, allowances and other service conditions of the 
Chief Information Commissioner and an Information Commissioner (of Centre as well as States) 
shall be such as prescribed by the Central Government. Before this amendment, the salary, allowances 
and other service conditions of the Chief Information Commissioner were similar to those of the Chief 
Election Commissioner and that of an Information Commissioner were similar to those of an Election 
Commissioner (State Election Commissioners in case of States). 
• 
The Commission consists of a Chief Information Commissioner and not more than ten Information 
Commissioners. The Commission, when constituted initially, had five commissioners including the Chief 
Information Commissioner.  Hence, statement 2 is correct. 
• 
The President can remove the Chief Information Commissioner or any Information Commissioner from 
office under the following circumstances: 
o 
if he is adjudged insolvent; or 
o 
if he has been convicted of an offence which (in the opinion of the President) involves moral 
turpitude; or 
o 
if he engages during his term of office in any paid employment outside the duties of his office; or 
o 
if he is (in the opinion of the President) unfit to continue in office due to infirmity of mind or body; or 
o 
if he has acquired such financial or other interest as is likely to affect prejudicially his official 
functions. 
• 
In addition to these, the President can also remove the Chief Information Commissioner or any 
Information Commissioner on the ground of proven misbehaviour or incapacity. However, in these 
cases, the President has to refer the matter to the Supreme Court for an enquiry. If the Supreme 
Court, after the enquiry, upholds the cause of removal and advises so, then the President can remove him.  
• 
The Commission submits an annual report to the Central Government on the implementation of the 
provisions of this Act. The Central Government places this report before each House of Parliament.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following pairs: 
Provisions under DPSP 
 
Article 
1. Promotion of cottage 
industries 
: Article 40 
2. Prohibit the slaughter of 
cows 
: Article 47 
3. Safeguard forests and 
wildlife 
: Article 
48A 
Which of the pairs given above is/are 
correctly matched? 
(a) 1 only  
(b) 2 and 3 only  
(c) 3 only  
(d) 1, 2 and 3",c,"• 
Provisions under DPSP with relevant constitutional articles: 
• 
To promote cottage industries on an individual or cooperation basis in rural areas (Article 43)  
• 
To prohibit the consumption of intoxicating drinks and drugs which are injurious to health (Article 47). 
• 
To prohibit the slaughter of cows, calves, and other milch and draught cattle and to improve their 
breeds (Article 48).  
• 
To organise agriculture and animal husbandry on modern and scientific lines (Article 48). 
• 
To protect and improve the environment and to safeguard forests and wildlife (Article 48 A). 
• 
Hence option (c) is the correct answer.",1 only  ,2 and 3 only  ,3 only  ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements with 
respect to the Preamble of the Constitution 
of India: 
1. It was not a part of the constitution 
adopted on 26th November 1949. 
2. It specifies justice, liberty, equality, and 
fraternity as the objectives. 
3. It was the first time recognized as part of 
the constitution in the Berubari Union 
case in 1960. 
Which of the statements given above is/are 
correct? 
(a) 1 and 3 only  
(b) 2 only 
(c) 2 and 3 only 
(d) 1, 2 and 3",b,"• 
The American Constitution was the first, to begin with, a Preamble. Many countries, including India, 
followed this practice. The term ‘Preamble’ refers to the introduction or preface to the Constitution. It 
contains the summary or essence of the Constitution. 
• 
The Preamble to the Indian Constitution is based on the ‘Objectives Resolution’, drafted and moved by 
Pandit Nehru, and adopted by the Constituent Assembly. It has been amended by the 42nd Constitutional 
Amendment Act (1976), which added three new words–Socialist, Secular and Integrity. 
• 
Originally (1949), the Constitution contained a Preamble, 395 Articles (divided into 22 Parts) and 8 
Schedules. Hence, statement 1 is not correct. 
• 
The Preamble reveals four ingredients or components: 
o 
Source of the authority of the Constitution: The Preamble states that the Constitution derives its 
authority from the people of India. 
o 
Nature of Indian State: It declares India to be of a sovereign, socialist, secular democratic, and 
republican polity. 
o 
Objectives of the Constitution: It specifies justice, liberty, equality, and fraternity as the 
objectives. Hence, statement 2 is correct. 
o 
Date of adoption of the Constitution: It stipulates November 26, 1949, as the date. 
• 
In the Berubari Union case (1960), the Supreme Court said that the Preamble shows the general purposes 
behind the several provisions in the Constitution and is thus a key to the minds of the makers of the 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
37        
    www.visionias.in       
 ©Vision IAS 
Constitution. Further, where the terms used in any article are ambiguous or capable of more than one 
meaning, some assistance at interpretation may be taken from the objectives enshrined in the 
Preamble. Despite this recognition of the significance of the Preamble, the Supreme Court 
specifically opined that Preamble is not a part of the Constitution. Hence, statement 3 is not correct. 
•
The above opinion was reversed in the Keshavananda Bharati case in 1973; Supreme Court held that
Preamble is part of the constitution. This opinion was further clarified by the  Supreme Court in the LIC
of India case (1995).",1 and 3 only  ,2 only ,2 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Recently, the Archeological Survey of India 
discovered 
votive 
stupas 
at 
Nalanda 
Mahavihara. In this context, consider the 
following statements regarding the Nalanda 
Mahavihara: 
1. It was visited by both Hiuen Tsang and 
It-sing. 
2. It was patronised by both Gupta and Pala 
dynasties. 
3. It is a UNESCO World Heritage site. 
Which of the statements given above is/are 
correct? 
(a) 1 and 2 only 
(b) 2 and 3 only 
(c) 3 only 
(d) 1, 2 and 3",d,"•
Recent Context: Votive stupas (offered in fulfillment of a vow) were discovered by the Archeological
Survey of India near Sarai Tila mound within the premises of Nalanda Mahavihara in Bihar.
•
Stupa, Sanskrit for heap, is a mound-like (hemispherical) burial structure containing relics of Buddhist
monks. E.g. Sanchi Stupa built over Buddha relics.
•
About Nalanda Mahavihara
o
It is a UNESCO World Heritage Site with archaeological remains of a monastic and scholastic
institution from the 3rd century BCE to 13th century CE. Hence statement 3 is correct.
o
Gautam Buddha as well as Mahavira stayed at Nalanda.
o
Other famous scholars at Nalanda Nagarjuna, Dharampala, Dinnaga, Jinamitra Santaraksita etc.
o
Imminent pilgrim monks like Hiuen Tsang and I-tsing also visited. Hence statement 1 is correct.
o
It prospered under Gupta Dynasty, Harsha of Kannauj and Pala Dynasty. Hence statement 2 is
correct.
o
It includes stupas, shrines, viharas (residential and educational buildings) and important art works in
stucco, stone and metal.",1 and 2 only ,2 and 3 only ,3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
